People,Alaska,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Arizona,Maryland,Massachusetts,Michigan,Minnesota,Missouri,Mississippi,Montana,Nebraska,Nevada,New Hampshire,Arkansas,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,California,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Colorado,Wyoming,Connecticut,Delaware,District of Columbia,Florida,Alabama
Persons in poverty; percent,10.3,17,10.6,15.1,13.6,14.5,12.2,13,18.5,19.6,13.4,17.4,9.7,11.5,15.8,10.2,14.8,22,14.6,12.6,14.7,8.2,19.1,10.8,20.4,15.4,16.4,11,14.8,16.1,15.4,13.2,13.9,15.3,16.6,13.7,16.7,15.9,11.3,10.2,11.2,12.2,17.9,12.1,11.5,11.1,10.5,12.4,17.3,15.7,18.5
Businesses,Alaska,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Arizona,Maryland,Massachusetts,Michigan,Minnesota,Missouri,Mississippi,Montana,Nebraska,Nevada,New Hampshire,Arkansas,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,California,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Colorado,Wyoming,Connecticut,Delaware,District of Columbia,Florida,Alabama
Total employer establishments; 2014,20752(1),220605(1),31801(1),43816(1),316120(1),143826(1),80466(1),74055(1),91418(1),104976(1),40369(1),134434(1),136501(1),173575(1),218282(1),147483(1),153945(1),58541(1),36791(1),52991(1),61625(1),37396(1),64670(1),230600(1),43748(1),536890(1),219897(1),24698(1),250535(1),92430(1),109875(1),298297(1),28132(1),889646(1),102297(1),26198(1),131504(1),557721(1),73375(1),21041(1),195639(1),179012(1),37354(1),138221(1),158064(1),20807(1),88555(1),24312(1),22210,519875(1),97714(1)
Total employment; 2014,266886(1),3551163(1),519130(1),530490(1),5312290(1),2602895(1),1316447(1),1178062(1),1535417(1),1717797(1),492690(1),2241077(1),2216867(1),3087030(1),3620465(1),2566086(1),2404701(1),912014(1),363650(1),851128(1),1090071(1),563323(1),992201(1),3526716(1),602632(1),7858425(1),3560448(1),360970(1),4636844(1),1359851(1),1444041(1),5255409(1),421578(1),13838702(1),1617249(1),347819(1),2453470(1),9920214(1),1148251(1),261058(1),3160539(1),2528874(1),575228(1),2450254(1),2181455(1),219857(1),1485426(1),391636(1),495453,7441584(1),1604016(1)
Total annual payroll; 2014 ($1;000),15275131(1),163852238(1),20847140(1),20015180(1),273437956(1),107451529(1),52562772(1),49712832(1),60162070(1),76730689(1),19631807(1),96796238(1),114337860(1),185352860(1),165699939(1),126186474(1),104217584(1),32776761(1),13367122(1),34953442(1),43673405(1),26936688(1),38335116(1),202658061(1),23629149(1),492706483(1),155372284(1),17362523(1),203868114(1),58150206(1),65714985(1),248560941(1),19511135(1),797045734(1),62406424(1),13161115(1),103559163(1),501456595(1),47913387(1),10179794(1),159145063(1),141277549(1),22100477(1),106791126(1),112194052(1),10375577(1),87866508(1),20918838(1),36953396,312959623(1),64291502(1)
Total employment; percent change; 2013-2014,0.1(1),2.7(1),3.3(1),4(1),2(1),1.8(1),0.9(1),2.4(1),1.9(1),1.8(1),1.1(1),3.1(1),1.6(1),0.8(1),2.4(1),1.9(1),2.1(1),1(1),3.8(1),2.5(1),4(1),2.1(1),1.4(1),1(1),-0.6(1),2.2(1),4.1(1),5.3(1),1.1(1),2.6(1),3.4(1),1.4(1),3.2(1),3.3(1),2.1(1),2.2(1),2.5(1),2.7(1),4.2(1),-0.5(1),0.9(1),3.5(1),-0.1(1),2.1(1),4.3(1),3.4(1),0.8(1),2.5(1),0.9,4.3(1),0.1(1)
Total nonemployer establishments; 2014,55818,848952,102544,118885,955153,399201,205908,193919,277731,357815,111777,438353,473516,502274,696730,394690,397713,209279,86186,129519,199538,103345,196593,653271,121343,1674297,706538,53588,757764,275014,269901,799663,75223,3117591,319046,63384,487341,2150702,209643,60181,560597,430670,89044,339963,468729,47576,269845,59078,55013,1948357,318136
All firms; 2012,68032,929864,118454,146642,1135017,479059,259121,239118,331546,414291,139570,499926,531953,607664,834087,489494,491606,235454,112419,164089,227156,131638,231959,792088,151363,2008988,805985,68270,904814,327229,339305,975453,94642,3548449,367726,81314,550453,2356748,251419,75827,653193,541522,114435,432980,547352,62427,326693,73418,63408,2100187,374153
Men-owned firms; 2012,35402,480578,60409,70438,609648,253533,135382,125169,184154,215111,79243,245243,276630,357158,446128,268710,257948,125079,55913,83696,114057,76716,123158,464592,71132,1139910,435677,37016,510078,174395,165691,579400,54651,1852580,202446,42418,302249,1251696,132163,41270,353012,262650,63112,236252,284554,30039,187845,38328,30237,1084885,203604
Women-owned firms; 2012,22141,376506,44453,45121,417500,162798,82345,77194,106011,151114,42067,182425,209119,199210,306986,157821,162616,89159,35449,51936,82508,38525,75962,252944,59044,725709,287058,20316,306824,105168,123015,304803,30484,1320085,131856,23722,195694,866678,76269,23417,236290,187677,39065,133859,194508,19344,106678,23964,27064,807817,137630
Minority-owned firms; 2012,13688,371588,74208,10592,311684,61252,14707,26127,27258,126100,4339,135313,203394,89967,158946,47302,61035,74824,5578,14571,71864,6111,35982,237242,60622,709021,183380,3190,122653,64875,41456,131512,14737,1619857,83233,4101,105234,1070392,24423,2354,185043,92807,5777,40507,85849,4077,56113,14440,29983,926112,92219
Nonminority-owned firms; 2012,51147,538893,38510,130973,795129,405090,236561,204562,296155,277676,131322,344981,314902,499959,657237,428716,415972,155094,102746,144122,144944,121297,189029,533808,83857,1248304,603182,62271,759569,249027,285028,818858,77042,1819107,276269,74228,434025,1224845,218826,70491,450109,426697,104785,379934,442365,55397,259614,54782,29521,1121749,272651
Veteran-owned firms; 2012,7953,96787,11148,12804,89110,45174,25889,21610,33208,42211,15689,46780,50976,58339,71861,45582,49217,26789,11486,16693,23049,16119,25915,57996,14096,137532,86571,6584,91316,36273,30918,97969,9904,252377,47987,8604,59379,213590,18754,8237,76434,49331,12912,39830,51722,6470,31056,7206,5070,185756,41943
Nonveteran-owned firms; 2012,56091,800585,101334,124314,1006885,412543,217779,203401,282704,354460,115839,427582,462232,525667,733517,419628,415542,198566,93393,137254,191293,108817,192988,707975,128693,1811544,684743,56904,776193,273491,288790,837792,79837,3176341,303137,66219,469392,2057218,219807,63317,548439,461401,94960,370755,469524,51353,281182,60318,54217,1846686,316984
Geography,Alaska,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Arizona,Maryland,Massachusetts,Michigan,Minnesota,Missouri,Mississippi,Montana,Nebraska,Nevada,New Hampshire,Arkansas,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,California,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Colorado,Wyoming,Connecticut,Delaware,District of Columbia,Florida,Alabama
Population per square mile; 2010,1.2,168.4,211.8,19,231.1,181,54.5,34.9,109.9,104.9,43.1,56.3,594.8,839.4,174.8,66.6,87.1,63.2,6.8,23.8,24.6,147,56,1195.5,17,411.2,196.1,9.7,282.3,54.7,39.9,283.9,1018.1,239.1,153.9,10.7,153.9,96.3,33.6,67.9,202.6,101.2,77.1,105,48.5,5.8,738.1,460.8,9856.5,350.6,94.4
Land area in square miles; 2010,570640.95,57513.49,6422.63,82643.12,55518.93,35826.11,55857.13,81758.72,39486.34,43203.9,30842.92,113594.08,9707.24,7800.06,56538.9,79626.74,68741.52,46923.27,145545.8,76824.17,109781.18,8952.65,52035.48,7354.22,121298.15,47126.4,48617.91,69000.8,40860.69,68594.92,95988.01,44742.7,1033.81,155779.22,30060.7,75811,41234.9,261231.71,82169.62,9216.66,39490.09,66455.52,24038.21,54157.8,103641.89,97093.14,4842.36,1948.54,61.05,53624.76,50645.33
FIPS Code,"""02""","""13""","""15""","""16""","""17""","""18""","""19""","""20""","""21""","""22""","""23""","""04""","""24""","""25""","""26""","""27""","""29""","""28""","""30""","""31""","""32""","""33""","""05""","""34""","""35""","""36""","""37""","""38""","""39""","""40""","""41""","""42""","""44""","""06""","""45""","""46""","""47""","""48""","""49""","""50""","""51""","""53""","""54""","""55""","""08""","""56""","""09""","""10""","""11""","""12""","""01"""
